"CPI Regional All Groups (Broad Regions) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","",""
"","Auckland","Wellington","Rest of North Island","North Island","Canterbury","Rest of South Island","South Island"
" ","All groups","All groups","All groups","All groups","All groups","All groups","All groups"
"2006Q2",825.082508,822.368421,813.008130,819.672131,803.212851,803.858521,803.212851
"2006Q3",827.557756,828.125000,819.512195,824.590164,811.244980,810.289389,810.441767
"2006Q4",825.907591,828.947368,817.886179,822.950820,811.244980,809.485531,810.441767
"2007Q1",830.858086,834.703947,821.951220,827.868852,813.654618,810.289389,812.048193
"2007Q2",836.633663,842.927632,831.707317,835.245902,820.883534,819.935691,820.080321
"2007Q3",843.234323,845.394737,834.959350,840.163934,824.096386,826.366559,824.899598
"2007Q4",852.310231,855.263158,845.528455,850.000000,834.538153,833.601286,833.734940
"2008Q1",858.085809,860.197368,851.219512,855.737705,840.160643,841.639871,840.160643
"2008Q2",871.287129,872.532895,865.040650,868.852459,852.208835,856.913183,853.815261
"2008Q3",882.013201,883.223684,880.487805,881.967213,869.076305,869.774920,869.076305
"2008Q4",877.062706,881.578947,873.983740,877.049180,865.863454,868.167203,866.666667
"2009Q1",878.712871,883.223684,878.048780,878.688525,869.879518,869.774920,869.879518
"2009Q2",884.488449,887.335526,882.113821,884.426230,873.092369,876.205788,873.895582
"2009Q3",893.564356,898.026316,893.495935,894.262295,887.550201,889.871383,888.353414
"2009Q4",891.089109,897.203947,893.495935,893.442623,885.943775,888.263666,886.746988
"2010Q1",895.214521,900.493421,895.934959,895.901639,888.353414,891.479100,889.156627
"2010Q2",896.864686,902.138158,896.747967,897.540984,889.156627,894.694534,891.566265
"2010Q3",907.590759,909.539474,907.317073,908.196721,898.795181,907.556270,902.008032
"2010Q4",929.042904,930.921053,927.642276,928.688525,918.072289,927.652733,922.088353
"2011Q1",938.118812,941.611842,934.959350,936.885246,"..",933.279743,927.710843
"2011Q2",945.544554,950.657895,943.089431,945.081967,935.742972,945.337621,939.759036
"2011Q3",948.019802,952.302632,947.154472,948.360656,940.562249,951.768489,945.381526
"2011Q4",946.369637,949.835526,943.089431,945.081967,939.759036,946.141479,942.168675
