"Labour Force Status by Age Group by Region Council (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","",""
"","Aged 15-24 Years","","","Aged 25-54 Years","","","Aged 55 Years and Over","","","Total All Ages","",""
" ","Auckland","Wellington","Canterbury","Auckland","Wellington","Canterbury","Auckland","Wellington","Canterbury","Auckland","Wellington","Canterbury"
" ","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate"
"2009Q3",15.2,16.7,14.8,4.8,3.4,3.7,3.5,2.5,2.8,6.2,5.6,5.3
"2009Q4",19.0,16.0,15.4,5.3,4.7,3.3,2.9,2.4,1.8,7.2,6.0,4.9
"2010Q1",18.4,15.2,12.0,6.0,3.7,4.9,3.0,1.9,1.5,7.5,5.1,5.3
"2010Q2",21.3,12.5,12.3,5.8,3.6,3.5,4.4,2.6,1.6,8.1,4.8,4.5
"2010Q3",18.6,9.0,12.5,4.7,4.0,3.5,3.8,2.9,2.6,6.8,4.5,4.7
"2010Q4",18.6,13.0,11.5,5.2,3.6,4.5,2.9,2.4,3.4,7.0,4.9,5.4
"2011Q1",16.3,18.8,16.5,5.4,4.3,3.5,4.1,2.4,2.5,7.0,6.4,4.9
"2011Q2",17.6,11.5,17.6,4.9,3.7,3.3,3.7,2.9,2.9,6.6,4.9,5.3
"2011Q3",15.5,13.0,12.4,5.1,3.8,4.0,2.4,1.8,3.1,6.2,5.1,4.9
"2011Q4",17.0,17.1,11.6,4.5,4.7,3.3,2.4,3.3,3.0,6.2,6.6,4.4
"2012Q1",17.7,16.7,15.6,5.7,3.9,3.1,3.3,2.2,2.4,7.3,5.6,4.8
"2012Q2",16.4,15.3,17.4,5.4,4.5,4.4,3.8,3.2,2.7,6.9,5.9,6.1
"2012Q3",17.7,15.4,13.9,6.0,5.1,3.4,5.7,4.0,2.6,7.7,6.5,4.8
"2012Q4",17.9,21.3,15.3,4.7,4.3,2.1,3.4,5.6,2.7,6.4,7.1,4.4
"2013Q1",15.9,14.4,11.1,5.3,4.6,2.9,4.2,5.6,2.0,6.8,6.3,4.0
"2013Q2",14.0,17.8,10.1,5.5,4.0,3.5,4.1,2.5,0.8,6.4,6.0,4.0
