date,Northland_gdp_millions,Auckland_gdp_millions,Waikato_gdp_millions,Gisborne_gdp_millions,Taranaki_gdp_millions,Wellington_gdp_millions,Canterbury_gdp_millions,Otago_gdp_millions,Southland_gdp_millions,Marlborough_gdp_millions
2000-01-01,2655.0,37716.0,8582.0,5430.0,901.0,3386.0,3595.0,4742.0,16021.0,647.0
2001-01-01,2954.0,38850.0,9712.0,5843.0,945.0,3643.0,4378.0,5065.0,16250.0,734.0
2002-01-01,3188.0,41840.0,10595.0,6238.0,986.0,3882.0,4479.0,5421.0,17424.0,773.0
2003-01-01,3082.0,45772.0,10181.0,6405.0,1008.0,4090.0,4344.0,5434.0,18184.0,744.0
2004-01-01,3316.0,49398.0,11038.0,6810.0,1020.0,4368.0,4327.0,5782.0,19021.0,818.0
2005-01-01,3659.0,53230.0,11666.0,7297.0,1073.0,4690.0,4356.0,6144.0,19957.0,862.0
2006-01-01,3969.0,55823.0,12516.0,7664.0,1087.0,4814.0,4518.0,6590.0,21190.0,1002.0
2007-01-01,4345.0,57382.0,13865.0,8397.0,1170.0,4946.0,5286.0,6699.0,21614.0,1075.0
2008-01-01,4620.0,61737.0,14707.0,9108.0,1211.0,4854.0,7649.0,7250.0,23219.0,1260.0
2009-01-01,4749.0,61244.0,15575.0,9060.0,1290.0,5074.0,7939.0,7187.0,23860.0,1392.0
2010-01-01,4558.0,63541.0,15313.0,9432.0,1329.0,5163.0,7678.0,7568.0,25158.0,1355.0
2011-01-01,4857.0,65938.0,16137.0,9974.0,1399.0,5459.0,7991.0,7913.0,25551.0,1432.0
2012-01-01,4928.0,69057.0,17131.0,10331.0,1434.0,5581.0,7903.0,8009.0,26746.0,1520.0
2013-01-01,4911.0,71488.0,16772.0,10513.0,1431.0,5741.0,7978.0,8018.0,27188.0,1453.0
2014-01-01,5367.0,75477.0,18705.0,11035.0,1475.0,6048.0,8511.0,8563.0,28356.0,1549.0
2015-01-01,5561.0,81144.0,18775.0,11304.0,1542.0,6183.0,8335.0,8693.0,29602.0,1481.0
2016-01-01,5998.0,88189.0,19430.0,12300.0,1640.0,6449.0,7226.0,8955.0,30663.0,1382.0
2017-01-01,6435.0,93731.0,20735.0,13840.0,1709.0,7019.0,7285.0,9370.0,32258.0,1451.0
2018-01-01,6976.0,99886.0,22606.0,15125.0,1845.0,7575.0,8134.0,10135.0,33621.0,1633.0
2019-01-01,7246.0,105440.0,24385.0,16328.0,2001.0,7897.0,8289.0,10758.0,34827.0,1691.0
2020-01-01,7721.0,110326.0,26035.0,17296.0,2058.0,8409.0,8522.0,11359.0,37523.0,1731.0
2021-01-01,7878.0,112297.0,27192.0,18137.0,2275.0,8941.0,8226.0,12223.0,37661.0,1798.0
2022-01-01,8812.0,122967.0,29662.0,19693.0,2368.0,9906.0,9068.0,13201.0,40787.0,1823.0
2023-01-01,9610.0,136072.0,31931.0,20860.0,2541.0,10400.0,9751.0,13733.0,44727.0,2203.0
2024-01-01,,,,,,,,,,
