date,lci_value
1992-10-01,697.471665
1993-01-01,696.774194
1993-04-01,698.169137
1993-07-01,700.261552
1993-10-01,701.656495
1994-01-01,706.538797
1994-04-01,709.328684
1994-07-01,712.11857
1994-10-01,713.513514
1995-01-01,719.093287
1995-04-01,723.278117
1995-07-01,727.462947
1995-10-01,732.345248
1996-01-01,735.135135
1996-04-01,740.714908
1996-07-01,744.899738
1996-10-01,749.78204
1997-01-01,755.361813
1997-04-01,759.546643
1997-07-01,763.731473
1997-10-01,765.823888
1998-01-01,765.823888
1998-04-01,769.311247
1998-07-01,771.403662
1998-10-01,772.798605
1999-01-01,772.798605
1999-04-01,772.798605
2000-04-01,785.353095
2001-04-01,800.0
2002-04-01,814.4
2003-04-01,832.0
2004-04-01,847.2
2005-04-01,870.4
2006-04-01,901.6
2007-04-01,938.4
2008-04-01,972.8
2009-04-01,1000.0
2010-04-01,1013.0
2011-04-01,1037.0
2012-04-01,1064.0
2013-04-01,1085.0
2014-04-01,1104.0
2015-04-01,1121.0
