"Totals - Electronic card transactions by division, percentage changes (Monthly)","","","","","","","","","","","",""
"","Actual","","","","","","Seasonally adjusted","","","","",""
" ","RTS total industries","","RTS core industries","","Total","","RTS total industries","","RTS core industries","","Total",""
" ","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period"
"2002M11","..","..","..","..","..","..","..",-2.0,"..",-2.2,"..",-2.2
"2002M12","..","..","..","..","..","..","..",4.3,"..",3.5,"..",3.6
"2003M01","..","..","..","..","..","..","..",-1.1,"..",-0.6,"..",-0.5
"2003M02","..","..","..","..","..","..","..",0.5,"..",0.6,"..",0.1
"2003M03","..","..","..","..","..","..","..",-0.2,"..",-0.4,"..",0.0
"2003M04","..","..","..","..","..","..","..",0.8,"..",1.5,"..",0.5
"2003M05","..","..","..","..","..","..","..",0.3,"..",0.5,"..",1.2
"2003M06","..","..","..","..","..","..","..",-0.8,"..",-0.6,"..",-0.1
"2003M07","..","..","..","..","..","..","..",2.8,"..",2.4,"..",2.6
"2003M08","..","..","..","..","..","..","..",0.8,"..",0.7,"..",0.5
"2003M09","..","..","..","..","..","..","..",0.0,"..",-0.1,"..",0.8
"2003M10",7.6,"..",7.6,"..",9.1,"..","..",1.2,"..",1.1,"..",1.2
"2003M11",8.5,"..",7.6,"..",10.0,"..","..",0.9,"..",0.0,"..",1.2
"2003M12",9.6,"..",8.3,"..",11.8,"..","..",3.5,"..",2.6,"..",2.8
"2004M01",8.9,"..",7.4,"..",11.1,"..","..",-1.9,"..",-2.0,"..",-0.4
"2004M02",9.8,"..",9.0,"..",12.7,"..","..",-0.6,"..",0.1,"..",-0.8
"2004M03",8.7,"..",6.6,"..",13.2,"..","..",2.1,"..",1.3,"..",2.6
"2004M04",11.2,"..",8.9,"..",14.8,"..","..",1.3,"..",1.2,"..",1.0
"2004M05",8.7,"..",5.8,"..",10.2,"..","..",0.7,"..",0.4,"..",0.3
"2004M06",11.9,"..",8.6,"..",14.5,"..","..",0.4,"..",0.5,"..",1.3
"2004M07",11.4,"..",9.3,"..",12.4,"..","..",1.0,"..",1.2,"..",0.2
"2004M08",7.6,"..",4.8,"..",10.3,"..","..",0.6,"..",0.4,"..",0.8
"2004M09",11.1,"..",8.3,"..",12.2,"..","..",0.6,"..",0.5,"..",0.9
"2004M10",9.0,"..",6.4,"..",9.3,"..","..",0.2,"..",-0.3,"..",0.2
"2004M11",9.1,"..",7.0,"..",11.1,"..","..",1.6,"..",1.7,"..",1.2
"2004M12",7.4,"..",6.5,"..",8.9,"..","..",-0.1,"..",0.0,"..",0.2
"2005M01",8.0,"..",7.6,"..",7.1,"..","..",1.4,"..",1.6,"..",1.0
"2005M02",8.0,"..",6.9,"..",8.3,"..","..",0.8,"..",0.9,"..",1.0
"2005M03",10.1,"..",9.3,"..",8.8,"..","..",0.8,"..",0.4,"..",0.1
"2005M04",9.1,"..",8.2,"..",8.6,"..","..",0.5,"..",0.1,"..",1.5
"2005M05",6.9,"..",6.4,"..",7.1,"..","..",0.0,"..",0.5,"..",-1.0
"2005M06",10.1,"..",9.6,"..",9.3,"..","..",1.4,"..",1.2,"..",2.2
"2005M07",8.2,"..",7.2,"..",7.7,"..","..",1.2,"..",0.8,"..",1.0
"2005M08",9.5,"..",8.1,"..",9.9,"..","..",0.2,"..",-0.2,"..",0.4
"2005M09",10.5,"..",9.1,"..",9.7,"..","..",1.4,"..",1.0,"..",0.7
"2005M10",9.9,"..",8.8,"..",9.2,"..","..",0.8,"..",0.8,"..",1.1
"2005M11",8.6,"..",7.8,"..",8.6,"..","..",0.0,"..",0.3,"..",0.3
"2005M12",8.1,"..",7.4,"..",7.5,"..","..",-1.5,"..",-1.4,"..",-1.0
"2006M01",7.5,"..",5.7,"..",8.2,"..","..",2.9,"..",2.4,"..",2.3
"2006M02",7.8,"..",6.0,"..",8.1,"..","..",-0.1,"..",-0.3,"..",0.4
"2006M03",9.6,"..",8.2,"..",10.9,"..","..",1.6,"..",1.5,"..",1.7
"2006M04",7.6,"..",5.9,"..",6.9,"..","..",0.8,"..",0.4,"..",0.5
"2006M05",11.7,"..",8.8,"..",12.7,"..","..",1.8,"..",1.5,"..",1.5
"2006M06",11.0,"..",8.6,"..",10.7,"..","..",0.9,"..",0.7,"..",0.7
"2006M07",7.9,"..",5.7,"..",8.3,"..","..",-0.4,"..",-0.2,"..",0.1
"2006M08",9.8,"..",8.3,"..",10.0,"..","..",0.9,"..",1.1,"..",1.0
"2006M09",8.3,"..",8.3,"..",8.4,"..","..",-0.3,"..",0.5,"..",-0.4
"2006M10",7.2,"..",7.7,"..",8.7,"..","..",1.6,"..",2.4,"..",1.8
"2006M11",9.0,"..",9.3,"..",10.0,"..","..",-0.2,"..",-0.3,"..",0.4
"2006M12",10.4,"..",10.3,"..",10.2,"..","..",1.4,"..",1.0,"..",1.3
"2007M01",9.2,"..",9.8,"..",10.6,"..","..",0.3,"..",0.8,"..",0.3
"2007M02",10.0,"..",11.2,"..",10.5,"..","..",1.3,"..",1.4,"..",1.3
"2007M03",9.7,"..",10.6,"..",9.7,"..","..",0.4,"..",0.0,"..",0.7
"2007M04",7.4,"..",8.6,"..",8.7,"..","..",0.7,"..",0.8,"..",-0.1
"2007M05",7.2,"..",8.6,"..",8.6,"..","..",-0.1,"..",-0.1,"..",0.8
"2007M06",7.6,"..",9.6,"..",8.5,"..","..",1.6,"..",1.2,"..",1.2
"2007M07",6.1,"..",7.8,"..",8.0,"..","..",-0.2,"..",0.4,"..",0.0
"2007M08",8.2,"..",10.1,"..",9.2,"..","..",0.6,"..",0.5,"..",0.6
"2007M09",8.1,"..",8.3,"..",8.3,"..","..",1.4,"..",0.9,"..",1.1
"2007M10",7.6,"..",6.5,"..",9.1,"..","..",-0.4,"..",-0.8,"..",0.1
"2007M11",9.6,"..",7.9,"..",9.9,"..","..",1.8,"..",0.8,"..",1.5
"2007M12",6.9,"..",5.6,"..",7.4,"..","..",-0.2,"..",0.0,"..",0.4
"2008M01",8.1,"..",5.9,"..",8.6,"..","..",0.5,"..",0.2,"..",0.5
"2008M02",10.5,"..",8.8,"..",11.2,"..","..",0.0,"..",0.5,"..",-0.3
"2008M03",4.4,"..",2.7,"..",3.5,"..","..",0.0,"..",-0.3,"..",-0.4
"2008M04",5.5,"..",2.9,"..",7.3,"..","..",0.3,"..",-0.3,"..",1.2
"2008M05",8.3,"..",5.7,"..",7.6,"..","..",0.8,"..",0.3,"..",0.3
"2008M06",2.2,"..",-1.5,"..",2.7,"..","..",-0.4,"..",-1.7,"..",-0.5
"2008M07",6.6,"..",2.7,"..",6.9,"..","..",1.1,"..",1.9,"..",1.1
"2008M08",5.7,"..",3.1,"..",4.4,"..","..",0.9,"..",1.4,"..",0.4
"2008M09",3.6,"..",1.0,"..",5.4,"..","..",-0.3,"..",-0.4,"..",0.3
"2008M10",6.4,"..",5.2,"..",6.6,"..","..",0.4,"..",1.2,"..",0.6
"2008M11",1.4,"..",2.7,"..",0.0,"..","..",-1.0,"..",0.3,"..",-1.8
"2008M12",1.9,"..",3.3,"..",1.3,"..","..",0.3,"..",1.1,"..",-0.4
"2009M01",3.3,"..",6.1,"..",1.6,"..","..",-0.5,"..",-0.2,"..",-0.2
"2009M02",-1.4,"..",-0.2,"..",-2.7,"..","..",1.2,"..",0.7,"..",1.0
"2009M03",1.4,"..",3.2,"..",1.6,"..","..",-0.1,"..",0.2,"..",0.1
"2009M04",3.1,"..",5.9,"..",1.7,"..","..",0.1,"..",0.2,"..",0.2
"2009M05",1.6,"..",5.3,"..",0.3,"..","..",0.8,"..",1.1,"..",0.7
"2009M06",2.3,"..",5.7,"..",2.4,"..","..",-0.8,"..",-2.1,"..",-0.4
"2009M07",2.7,"..",6.9,"..",2.6,"..","..",0.8,"..",2.1,"..",1.0
"2009M08",1.2,"..",4.2,"..",1.2,"..","..",0.7,"..",0.4,"..",0.6
"2009M09",2.5,"..",5.3,"..",1.9,"..","..",0.3,"..",0.2,"..",0.4
"2009M10",2.2,"..",4.5,"..",1.2,"..","..",-0.8,"..",-0.7,"..",-0.5
"2009M11",2.3,"..",2.1,"..",2.7,"..","..",0.8,"..",0.2,"..",0.1
"2009M12",4.2,"..",3.2,"..",4.6,"..","..",1.1,"..",1.0,"..",1.4
"2010M01",3.5,"..",2.0,"..",3.7,"..","..",-0.1,"..",-0.4,"..",0.2
"2010M02",3.2,"..",2.3,"..",3.9,"..","..",0.3,"..",0.5,"..",0.0
"2010M03",5.7,"..",4.3,"..",6.4,"..","..",1.7,"..",1.6,"..",1.8
"2010M04",3.4,"..",1.8,"..",3.7,"..","..",-2.0,"..",-2.5,"..",-2.3
"2010M05",2.4,"..",1.2,"..",2.6,"..","..",0.8,"..",1.7,"..",0.9
"2010M06",4.6,"..",4.1,"..",4.7,"..","..",0.8,"..",0.2,"..",1.1
"2010M07",4.6,"..",4.1,"..",3.7,"..","..",0.1,"..",0.9,"..",-0.2
"2010M08",1.8,"..",1.2,"..",3.0,"..","..",0.1,"..",0.0,"..",0.7
"2010M09",5.2,"..",4.8,"..",5.0,"..","..",1.6,"..",1.6,"..",1.3
"2010M10",4.9,"..",4.1,"..",4.0,"..","..",0.5,"..",-0.1,"..",0.1
"2010M11",6.4,"..",5.7,"..",7.1,"..","..",1.1,"..",1.0,"..",1.2
"2010M12",6.3,"..",5.4,"..",5.9,"..","..",0.6,"..",0.0,"..",0.2
