"Labour Force Status by Age Group by Region Council (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Aged 15-24 Years","","","","","","","","","","","","","","","","","","","","","","","","Aged 25-54 Years","","","","","","","","","","","","","","","","","","","","","","","","Aged 55 Years and Over","","","","","","","","","","","","","","","","","","","","","","","","Total All Ages","","","","","","","","","","","","","","","","","","","","","","",""
" ","Auckland","","","","","","","","Wellington","","","","","","","","Canterbury","","","","","","","","Auckland","","","","","","","","Wellington","","","","","","","","Canterbury","","","","","","","","Auckland","","","","","","","","Wellington","","","","","","","","Canterbury","","","","","","","","Auckland","","","","","","","","Wellington","","","","","","","","Canterbury","","","","","","",""
" ","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force"
"2009Q3",98.4,17.7,103.1,219.2,52.9,15.2,44.9,116.0,38.3,7.7,26.4,72.4,63.5,16.7,52.9,46.0,41.6,7.2,28.9,77.7,62.8,14.8,53.5,48.9,476.6,24.1,112.2,612.8,81.7,4.8,77.8,500.6,162.8,5.8,27.4,195.9,86.0,3.4,83.1,168.6,192.0,7.4,34.0,233.4,85.4,3.7,82.3,199.4,116.1,4.2,151.6,271.9,44.3,3.5,42.7,120.3,44.2,1.1,62.1,107.4,42.2,2.5,41.2,45.4,62.7,1.8,69.8,134.3,48.1,2.8,46.7,64.5,691.0,46.0,366.9,1103.9,66.8,6.2,62.6,737.0,245.4,14.6,115.8,375.7,69.2,5.6,65.3,259.9,296.3,16.4,132.7,445.4,70.2,5.3,66.5,312.8
"2009Q4",100.9,23.7,101.8,226.4,55.0,19.0,44.5,124.6,34.7,6.6,18.6,59.9,68.9,16.0,57.9,41.3,41.6,7.6,27.6,76.8,64.1,15.4,54.2,49.2,477.0,26.7,107.7,611.4,82.4,5.3,78.0,503.7,173.9,8.6,27.1,209.5,87.1,4.7,83.0,182.4,187.3,6.4,34.0,227.8,85.1,3.3,82.3,193.8,120.2,3.6,147.1,270.8,45.7,2.9,44.4,123.7,45.0,1.1,61.4,107.5,42.9,2.4,41.9,46.1,64.2,1.2,77.3,142.7,45.8,1.8,45.0,65.4,698.1,53.9,356.6,1108.6,67.8,7.2,63.0,752.0,253.5,16.2,107.1,376.8,71.6,6.0,67.3,269.8,293.1,15.2,138.9,447.2,68.9,4.9,65.5,308.4
"2010Q1",99.6,22.5,104.4,226.5,53.9,18.4,44.0,122.1,34.0,6.1,28.2,68.2,58.7,15.2,49.8,40.1,42.3,5.8,27.5,75.5,63.6,12.0,56.0,48.1,471.9,29.9,111.6,613.4,81.8,6.0,76.9,501.8,171.3,6.6,24.4,202.4,87.9,3.7,84.7,177.9,190.6,9.8,33.3,233.7,85.8,4.9,81.6,200.4,117.7,3.6,151.9,273.2,44.4,3.0,43.1,121.3,45.4,"..",60.9,107.2,43.2,1.9,42.4,46.3,64.9,"..",73.8,139.7,47.2,1.5,46.5,65.9,689.3,56.0,367.9,1113.1,67.0,7.5,61.9,745.3,250.8,13.6,113.5,377.8,70.0,5.1,66.4,264.3,297.9,16.5,134.5,448.9,70.0,5.3,66.4,314.4
"2010Q2",95.2,25.8,106.3,227.3,53.2,21.3,41.9,121.0,36.5,5.2,26.1,67.8,61.5,12.5,53.9,41.7,43.4,6.1,33.3,82.8,59.8,12.3,52.4,49.5,470.9,29.2,110.4,610.5,81.9,5.8,77.1,500.1,170.4,6.3,27.0,203.8,86.7,3.6,83.6,176.8,188.6,6.9,35.2,230.6,84.8,3.5,81.8,195.5,119.4,5.5,153.4,278.4,44.9,4.4,42.9,124.9,46.0,1.2,59.6,106.8,44.2,2.6,43.1,47.2,65.8,1.1,69.7,136.6,49.0,1.6,48.1,66.9,685.5,60.4,370.2,1116.1,66.8,8.1,61.4,746.0,252.9,12.8,112.7,378.4,70.2,4.8,66.9,265.7,297.7,14.1,138.2,450.0,69.3,4.5,66.2,311.8
"2010Q3",96.4,22.0,105.3,223.6,52.9,18.6,43.1,118.3,35.6,3.5,27.0,66.1,59.2,9.0,53.9,39.1,43.6,6.2,28.1,77.9,63.9,12.5,56.0,49.8,478.3,23.5,112.5,614.4,81.7,4.7,77.9,501.9,171.1,7.1,25.5,203.7,87.5,4.0,84.0,178.3,189.9,6.9,33.3,230.1,85.5,3.5,82.5,196.7,119.7,4.8,157.2,281.7,44.2,3.8,42.5,124.5,47.3,1.4,60.6,109.2,44.6,2.9,43.3,48.7,65.5,1.8,74.5,141.8,47.5,2.6,46.2,67.3,694.5,50.3,375.0,1119.7,66.5,6.8,62.0,744.7,254.0,12.0,113.0,379.0,70.2,4.5,67.0,266.1,299.0,14.9,135.9,449.8,69.8,4.7,66.5,313.8
"2010Q4",98.8,22.6,105.1,226.5,53.6,18.6,43.6,121.4,38.7,5.8,20.4,64.9,68.6,13.0,59.7,44.5,47.4,6.2,25.2,78.8,68.0,11.5,60.2,53.6,475.7,25.9,116.5,618.0,81.2,5.2,77.0,501.6,172.2,6.4,24.9,203.5,87.8,3.6,84.6,178.6,188.3,8.8,32.0,229.2,86.0,4.5,82.2,197.2,121.5,3.6,155.5,280.6,44.6,2.9,43.3,125.1,50.0,1.2,60.5,111.8,45.9,2.4,44.8,51.3,63.3,2.2,75.2,140.6,46.6,3.4,45.0,65.5,696.0,52.1,377.0,1125.1,66.5,7.0,61.9,748.0,261.0,13.4,105.8,380.2,72.2,4.9,68.6,274.4,299.1,17.2,132.4,448.6,70.5,5.4,66.7,316.3
"2011Q1",108.9,21.3,100.0,230.2,56.5,16.3,47.3,130.1,37.0,8.5,26.2,71.7,63.5,18.8,51.6,45.6,32.8,6.5,26.2,65.5,60.0,16.5,50.1,39.3,476.6,27.0,109.9,613.6,82.1,5.4,77.7,503.7,162.7,7.4,27.7,197.9,86.0,4.3,82.3,170.1,196.7,7.1,30.6,234.4,86.9,3.5,83.9,203.8,122.3,5.3,158.6,286.2,44.6,4.1,42.7,127.6,51.8,1.3,58.6,111.7,47.6,2.4,46.4,53.1,66.5,1.7,79.2,147.4,46.3,2.5,45.1,68.2,707.9,53.5,368.6,1130.0,67.4,7.0,62.6,761.4,251.6,17.2,112.5,381.3,70.5,6.4,66.0,268.8,296.0,15.2,136.1,447.3,69.6,4.9,66.2,311.3
