"Labour Force Status by Sex by Sing/Comb Ethnic Group (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Total Both Sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","European Only","","","","","","","","Maori Only","","","","","","","","Pacific Peoples Only","","","","","","","","Asian Only","","","","","","","","MELAA Only","","","","","","","","Other Ethnicity Only","","","","","","","","European/Maori","","","","","","","","Two or More Groups Not Elsewhere Included","","","","","","","","Residual Categories","","","","","","","","Total All Ethnic Groups","","","","","","","","European Only","","","","","","","","Maori Only","","","","","","","","Pacific Peoples Only","","","","","","","","Asian Only","","","","","","","","MELAA Only","","","","","","","","Other Ethnicity Only","","","","","","","","European/Maori","","","","","","","","Two or More Groups Not Elsewhere Included","","","","","","","","Residual Categories","","","","","","","","Total All Ethnic Groups","","","","","","","","European Only","","","","","","","","Maori Only","","","","","","","","Pacific Peoples Only","","","","","","","","Asian Only","","","","","","","","MELAA Only","","","","","","","","Other Ethnicity Only","","","","","","","","European/Maori","","","","","","","","Two or More Groups Not Elsewhere Included","","","","","","","","Residual Categories","","","","","","","","Total All Ethnic Groups","","","","","","",""
" ","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force"
"2007Q4",845.8,19.4,276.7,1141.9,75.8,2.2,74.1,865.2,72.8,6.3,28.9,108.0,73.2,7.9,67.4,79.1,43.0,1.6,19.1,63.7,70.0,3.5,67.5,44.6,95.9,4.9,32.6,133.5,75.6,4.9,71.9,100.9,9.9,"..",3.5,14.2,75.4,7.8,69.5,10.7,5.9,"..",1.1,7.2,84.5,2.6,82.3,6.1,61.2,4.6,14.7,80.5,81.8,7.0,76.1,65.8,28.5,1.2,7.2,36.9,80.6,4.0,77.4,29.7,7.2,"..",1.7,9.3,81.7,4.6,78.0,7.6,1170.3,39.3,385.5,1595.2,75.8,3.2,73.4,1209.6,757.3,15.9,439.7,1212.8,63.8,2.1,62.4,773.2,64.1,6.6,50.6,121.4,58.3,9.4,52.8,70.7,37.3,2.4,32.2,71.9,55.2,6.2,51.8,39.7,76.9,4.5,65.0,146.3,55.6,5.5,52.5,81.3,4.4,"..",8.2,13.2,37.8,12.4,33.1,5.0,5.6,"..",1.9,7.4,75.0,"..",75.0,5.6,54.9,2.4,28.7,86.0,66.7,4.2,63.8,57.3,21.7,1.8,13.4,36.9,63.7,7.6,58.9,23.5,5.7,"..",4.1,10.0,58.7,2.6,57.2,5.9,1027.7,34.4,643.7,1705.9,62.3,3.2,60.2,1062.2,1603.1,35.3,716.4,2354.8,69.6,2.2,68.1,1638.4,136.9,12.9,79.5,229.3,65.3,8.6,59.7,149.8,80.3,4.0,51.3,135.6,62.2,4.8,59.2,84.3,172.8,9.4,97.6,279.8,65.1,5.1,61.8,182.2,14.3,1.5,11.7,27.4,57.3,9.3,52.0,15.7,11.5,"..",3.0,14.6,79.7,1.3,78.6,11.7,116.1,7.0,43.3,166.5,74.0,5.7,69.8,123.2,50.2,3.0,20.5,73.7,72.2,5.6,68.1,53.2,12.9,"..",5.8,19.3,69.8,3.7,67.2,13.4,2198.1,73.7,1029.2,3301.0,68.8,3.2,66.6,2271.8
"2008Q1",850.6,24.4,280.6,1155.7,75.7,2.8,73.6,875.0,71.0,7.7,32.1,110.8,71.0,9.8,64.1,78.7,41.3,3.3,18.4,63.0,70.8,7.5,65.5,44.6,91.3,3.6,36.6,131.5,72.2,3.8,69.4,94.8,9.3,"..",4.8,14.6,66.9,5.0,63.6,9.8,6.8,"..",1.8,9.1,80.0,6.5,74.8,7.3,58.7,4.6,20.4,83.7,75.7,7.3,70.1,63.3,17.2,1.7,5.3,24.1,78.2,8.9,71.2,18.9,4.2,"..",2.5,6.9,63.4,5.0,60.2,4.4,1150.3,46.5,402.6,1599.4,74.8,3.9,71.9,1196.9,730.8,23.3,454.7,1208.9,62.4,3.1,60.5,754.2,62.1,7.6,56.7,126.3,55.1,10.9,49.1,69.6,33.7,3.7,33.8,71.2,52.5,9.8,47.3,37.3,79.4,6.5,71.1,157.0,54.7,7.6,50.6,85.9,5.1,1.2,7.3,13.7,46.5,19.1,37.6,6.4,6.5,"..",4.2,10.8,60.8,1.5,59.9,6.6,56.4,4.2,27.8,88.3,68.6,6.9,63.8,60.6,15.9,"..",9.3,25.8,63.8,3.3,61.7,16.4,5.7,"..",2.7,8.7,69.1,5.6,65.3,6.0,995.5,47.5,667.7,1710.7,61.0,4.6,58.2,1043.0,1581.5,47.8,735.3,2364.6,68.9,2.9,66.9,1629.2,133.1,15.3,88.8,237.2,62.5,10.3,56.1,148.3,75.0,7.0,52.2,134.2,61.1,8.5,55.9,82.0,170.6,10.1,107.7,288.4,62.7,5.6,59.2,180.7,14.4,1.7,12.1,28.3,57.0,10.6,51.0,16.1,13.3,"..",6.1,19.9,69.6,4.1,66.7,13.9,115.1,8.8,48.1,172.0,72.0,7.1,66.9,123.9,33.1,2.2,14.6,49.9,70.7,6.3,66.3,35.3,9.8,"..",5.2,15.6,66.6,5.3,63.0,10.4,2145.8,94.0,1070.3,3310.1,67.7,4.2,64.8,2239.9
"2008Q2",836.5,24.4,277.0,1137.9,75.7,2.8,73.5,860.9,69.6,6.0,28.6,104.2,72.6,7.9,66.9,75.6,42.8,2.4,18.3,63.4,71.2,5.3,67.4,45.1,99.1,3.6,44.5,147.2,69.8,3.5,67.3,102.7,9.5,1.9,3.5,14.9,76.4,16.5,63.8,11.4,11.0,"..",2.8,14.2,80.4,3.8,77.3,11.4,66.0,5.1,19.6,90.8,78.4,7.2,72.8,71.2,17.1,"..",5.5,23.6,76.5,5.0,72.7,18.0,2.7,"..",3.0,5.7,46.8,"..",46.8,2.7,1154.4,44.6,402.9,1601.9,74.9,3.7,72.1,1199.1,735.1,19.5,439.8,1194.4,63.2,2.6,61.5,754.6,60.8,5.4,49.1,115.2,57.4,8.1,52.7,66.1,35.7,2.8,32.8,71.3,54.0,7.2,50.1,38.5,88.9,5.0,71.2,165.0,56.9,5.3,53.9,93.9,6.7,"..",9.0,16.7,46.0,12.7,40.2,7.7,8.8,1.1,6.5,16.4,60.3,11.1,53.6,9.9,61.1,3.9,34.9,99.9,65.0,6.1,61.1,65.0,17.6,"..",10.5,28.7,63.5,3.4,61.3,18.2,2.8,"..",3.4,6.2,45.2,"..",45.2,2.8,1017.4,39.2,657.2,1713.9,61.7,3.7,59.4,1056.7,1571.6,43.9,716.8,2332.3,69.3,2.7,67.4,1615.5,130.4,11.3,77.6,219.4,64.6,8.0,59.4,141.7,78.5,5.1,51.1,134.8,62.1,6.2,58.2,83.6,188.0,8.6,115.7,312.3,63.0,4.4,60.2,196.6,16.2,2.9,12.5,31.6,60.4,15.0,51.3,19.1,19.7,1.5,9.3,30.6,69.6,7.2,64.6,21.3,127.1,9.1,54.5,190.7,71.4,6.6,66.7,136.2,34.7,1.5,16.0,52.3,69.4,4.2,66.5,36.3,5.5,"..",6.4,11.9,46.0,"..",46.0,5.5,2171.9,83.9,1060.1,3315.8,68.0,3.7,65.5,2255.7
"2008Q3",824.3,26.6,282.1,1133.0,75.1,3.1,72.8,850.9,74.9,8.9,32.5,116.3,72.1,10.6,64.4,83.8,46.0,3.3,19.9,69.2,71.3,6.7,66.5,49.3,102.0,3.4,41.6,147.0,71.7,3.2,69.4,105.4,8.2,"..",6.5,15.5,58.1,9.0,52.9,9.0,10.4,"..",4.0,14.4,72.3,0.5,71.9,10.4,58.3,4.7,18.8,81.9,77.0,7.5,71.2,63.1,18.2,"..",5.0,23.8,78.9,3.1,76.5,18.8,2.9,"..","..",3.3,88.1,"..",88.1,2.9,1145.2,48.4,410.8,1604.4,74.4,4.1,71.4,1193.6,736.7,19.9,435.9,1192.5,63.4,2.6,61.8,756.6,64.0,5.7,52.6,122.3,57.0,8.2,52.3,69.7,39.8,3.5,35.0,78.3,55.3,8.1,50.8,43.3,87.5,5.3,70.6,163.4,56.8,5.7,53.6,92.8,7.1,"..",9.5,17.6,45.8,11.7,40.4,8.0,11.1,"..",6.8,18.7,63.5,6.3,59.5,11.9,58.4,3.3,32.5,94.2,65.5,5.4,61.9,61.7,16.5,1.1,9.0,26.6,66.2,6.5,61.9,17.6,3.2,"..","..",3.7,86.3,1.8,84.7,3.2,1024.2,40.7,652.3,1717.2,62.0,3.8,59.6,1064.9,1560.9,46.6,717.9,2325.4,69.1,2.9,67.1,1607.5,138.9,14.6,85.1,238.6,64.3,9.5,58.2,153.5,85.8,6.8,54.9,147.6,62.8,7.4,58.2,92.7,189.5,8.7,112.2,310.4,63.9,4.4,61.1,198.2,15.3,1.8,16.0,33.1,51.6,10.3,46.3,17.1,21.5,"..",10.8,33.1,67.3,3.6,64.9,22.3,116.7,8.1,51.3,176.1,70.9,6.5,66.3,124.8,34.7,1.7,14.0,50.4,72.2,4.7,68.8,36.4,6.0,"..","..",7.0,87.1,1.0,86.3,6.1,2169.4,89.1,1063.2,3321.7,68.0,3.9,65.3,2258.5
"2008Q4",835.6,26.6,270.1,1132.3,76.1,3.1,73.8,862.2,79.5,8.9,30.2,118.6,74.6,10.0,67.1,88.4,49.1,3.3,18.1,70.5,74.4,6.2,69.7,52.4,107.9,6.1,34.9,148.9,76.5,5.4,72.4,114.0,8.3,"..",4.9,13.6,64.3,4.5,61.3,8.7,13.4,"..",3.9,17.7,77.9,2.9,75.6,13.8,59.4,4.2,17.9,81.5,78.0,6.6,72.9,63.6,17.7,"..",4.8,23.5,79.4,5.1,75.3,18.7,1.6,"..","..",2.1,82.5,8.2,75.7,1.7,1172.5,50.9,385.1,1608.6,76.1,4.2,72.9,1223.4,742.5,22.6,432.2,1197.3,63.9,3.0,62.0,765.1,68.4,7.2,48.8,124.5,60.8,9.6,55.0,75.7,39.0,4.0,33.3,76.3,56.4,9.4,51.1,43.0,92.4,6.5,69.1,168.1,58.9,6.6,55.0,99.0,4.2,"..",6.6,11.7,43.7,18.1,35.8,5.1,12.4,"..",7.6,20.7,63.1,5.4,59.7,13.1,61.4,4.9,26.4,92.8,71.5,7.4,66.2,66.4,16.4,1.1,10.3,27.9,63.2,6.5,59.1,17.6,2.2,"..","..",3.0,76.0,1.5,74.8,2.3,1039.0,48.1,635.0,1722.2,63.1,4.4,60.3,1087.2,1578.0,49.2,702.3,2329.5,69.9,3.0,67.7,1627.3,148.0,16.1,78.9,243.0,67.5,9.8,60.9,164.1,88.1,7.3,51.3,146.7,65.0,7.6,60.0,95.4,200.3,12.7,104.0,317.0,67.2,5.9,63.2,213.0,12.5,1.3,11.5,25.4,54.7,9.5,49.5,13.9,25.8,1.1,11.5,38.4,69.9,4.1,67.1,26.9,120.8,9.1,44.3,174.2,74.6,7.0,69.3,129.9,34.2,2.1,15.1,51.4,70.6,5.8,66.5,36.3,3.8,"..",1.1,5.1,78.6,4.4,75.2,4.0,2211.6,99.1,1020.1,3330.7,69.4,4.3,66.4,2310.6
"2009Q1",825.5,33.0,274.2,1132.6,75.8,3.8,72.9,858.4,79.0,8.9,37.9,125.8,69.9,10.2,62.8,88.0,42.8,7.2,18.9,69.0,72.6,14.5,62.1,50.1,100.6,6.9,40.5,147.9,72.6,6.4,68.0,107.5,8.3,"..",4.9,14.2,65.3,10.4,58.5,9.3,16.3,"..",5.1,21.7,76.6,1.7,75.3,16.6,50.6,6.3,18.1,74.9,75.9,11.0,67.5,56.8,16.4,1.9,6.2,24.5,74.6,10.1,67.0,18.3,2.0,"..","..",2.9,88.4,23.3,67.8,2.6,1141.5,66.0,406.0,1613.6,74.8,5.5,70.7,1207.5,724.0,27.5,437.2,1188.6,63.2,3.7,60.9,751.4,68.2,8.7,54.4,131.3,58.6,11.3,51.9,76.9,35.9,4.6,39.6,80.1,50.6,11.4,44.9,40.6,95.8,6.3,72.0,174.1,58.6,6.2,55.0,102.1,4.4,"..",7.1,12.3,41.7,14.5,35.6,5.1,14.4,"..",7.4,22.3,66.8,2.8,64.9,14.9,52.8,6.4,27.8,87.0,68.0,10.8,60.7,59.1,17.6,2.2,10.5,30.2,65.3,11.0,58.1,19.7,"..","..","..",1.6,63.6,16.9,52.9,"..",1013.8,57.0,656.5,1727.3,62.0,5.3,58.7,1070.8,1549.4,60.4,711.4,2321.3,69.4,3.8,66.8,1609.9,147.2,17.7,92.2,257.1,64.1,10.7,57.3,164.9,78.8,11.9,58.4,149.1,60.8,13.1,52.8,90.7,196.3,13.2,112.5,322.0,65.1,6.3,61.0,209.5,12.7,1.7,12.1,26.5,54.4,11.9,47.9,14.4,30.8,"..",12.5,43.9,71.6,2.2,70.0,31.5,103.3,12.6,45.9,161.9,71.6,10.9,63.8,116.0,34.0,4.0,16.7,54.7,69.5,10.6,62.1,38.0,2.8,"..","..",4.5,79.8,21.5,62.6,3.6,2155.3,123.0,1062.6,3340.9,68.2,5.4,64.5,2278.3
"2009Q2",812.7,32.1,274.6,1119.4,75.5,3.8,72.6,844.8,78.1,10.4,35.2,123.8,71.5,11.8,63.1,88.5,42.8,5.2,19.3,67.3,71.3,10.9,63.6,48.0,109.7,7.6,42.4,159.7,73.5,6.5,68.7,117.3,9.4,1.5,5.9,16.7,64.8,13.7,55.9,10.8,18.8,"..",5.4,24.8,78.2,3.1,75.8,19.4,52.7,6.8,17.9,77.4,76.9,11.5,68.0,59.5,16.9,"..",9.0,26.8,66.3,5.1,63.0,17.8,1.7,"..","..",2.2,77.8,"..",77.8,1.7,1142.6,65.2,410.2,1618.0,74.6,5.4,70.6,1207.8,724.1,29.2,442.3,1195.7,63.0,3.9,60.6,753.3,64.9,9.7,54.5,129.0,57.8,13.0,50.3,74.5,31.9,5.7,40.2,77.7,48.3,15.1,41.0,37.5,90.4,8.0,68.8,167.3,58.8,8.2,54.0,98.4,6.6,1.4,6.2,14.3,56.4,17.7,46.4,8.1,16.2,"..",7.8,24.3,68.1,2.3,66.6,16.6,53.3,5.1,32.0,90.4,64.6,8.7,58.9,58.4,16.7,2.6,10.8,30.1,64.2,13.6,55.4,19.3,1.7,"..",1.0,3.0,65.2,14.6,55.7,1.9,1005.7,62.4,663.7,1731.8,61.7,5.8,58.1,1068.1,1536.8,61.3,716.9,2315.0,69.0,3.8,66.4,1598.1,143.0,20.1,89.7,252.8,64.5,12.3,56.6,163.1,74.7,10.9,59.5,145.1,59.0,12.7,51.5,85.6,200.1,15.7,111.2,326.9,66.0,7.3,61.2,215.8,16.0,2.9,12.1,31.0,60.9,15.4,51.5,18.9,35.0,"..",13.2,49.1,73.2,2.7,71.2,35.9,106.0,12.0,49.9,167.9,70.3,10.1,63.1,117.9,33.6,3.5,19.8,56.9,65.2,9.5,59.0,37.1,3.4,"..",1.5,5.2,70.5,7.8,65.0,3.6,2148.3,127.6,1073.9,3349.8,67.9,5.6,64.1,2275.9
