"Age and Region by variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Filled jobs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","15-19","","","","","","","","","","","","","","","","20-24","","","","","","","","","","","","","","","","25-29","","","","","","","","","","","","","","","","30-34","","","","","","","","","","","","","","","","35-39","","","","","","","","","","","","","","","","40-44","","","","","","","","","","","","","","","","45-49","","","","","","","","","","","","","","","","50-54","","","","","","","","","","","","","","","","55-59","","","","","","","","","","","","","","","","60-64","","","","","","","","","","","","","","","",65,"","","","","","","","","","","","","","",""
" ","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland"
" ","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual"
"2019M05",4203,33233,"..",8216,1425,4412,2961,5985,11257,1542,1201,1403,850,"..",5529,2839,6413,80730,"..",13749,2114,7502,4785,10838,25142,2156,1777,2308,1151,"..",11548,4429,6677,103706,"..",16016,2256,8298,5280,11661,29630,2259,2000,2844,1417,"..",14081,5039,6253,92383,"..",14025,1971,7347,4974,10321,26260,1951,1907,2722,1308,"..",12093,4743,5907,80440,"..",12269,1892,6725,4908,9373,24528,1928,1727,2508,1189,"..",10173,4556,6047,71005,"..",12710,1954,7210,5019,9550,23691,2238,1860,2470,1237,"..",9858,4608,7165,72923,"..",14025,2254,8237,5722,10678,26171,2709,2275,2723,1594,"..",10808,4765,7243,65382,"..",13107,2054,7531,5183,10621,23815,2609,2193,2610,1549,"..",10070,4605,7091,55890,"..",12572,2096,7647,5247,10741,22219,2519,2232,2559,1734,"..",9944,4797,5592,38144,"..",9568,1683,5762,4047,8096,16042,1873,1676,1984,1287,"..",7684,3757,4244,27665,"..",7749,1409,4498,2802,6159,11254,1343,1075,1480,916,"..",5167,2675
"2019M06",4031,32452,11384,7921,1372,4296,2915,5886,11245,1480,1170,1382,814,14351,5357,2713,6265,79815,21620,13334,2064,7086,4752,10766,24974,2071,1779,2291,1134,28556,11445,4209,6611,103410,23806,15501,2231,7878,5219,11610,29748,2142,1968,2785,1390,34468,14089,4917,6277,92867,21490,13778,2003,7077,4957,10375,26593,1910,1870,2700,1279,31205,12109,4621,5891,81135,19560,12184,1901,6510,4939,9409,24839,1889,1707,2501,1182,27845,10141,4510,6061,71729,19326,12611,1958,6975,5026,9571,23909,2198,1847,2471,1230,27333,9794,4514,7141,73247,21280,13965,2227,8135,5705,10749,26411,2703,2248,2725,1559,30667,10747,4685,7229,65746,19630,12995,2077,7446,5172,10573,24085,2598,2168,2600,1550,28601,10083,4477,7067,56389,18290,12504,2086,7610,5197,10764,22382,2508,2218,2584,1709,26440,9913,4660,5628,38393,13757,9521,1690,5743,4013,8215,16249,1858,1646,2017,1306,19659,7675,3646,4246,27964,10528,7667,1417,4512,2826,6211,11345,1298,1089,1471,913,13802,5129,2647
"2019M07",4051,32569,11461,7870,1413,4301,2928,6008,11228,1512,1151,1398,814,14475,5457,2682,6206,79954,21603,13137,1989,6979,4697,10884,25010,2072,1763,2272,1124,28653,11577,4110,6568,104063,23915,15398,2177,7788,5232,11657,29897,2112,1962,2755,1373,34529,14150,4810,6258,93889,21695,13715,2008,6973,4932,10466,26824,1874,1903,2705,1265,31371,12243,4516,5838,82285,19618,12137,1871,6409,4928,9434,24930,1884,1721,2487,1157,27959,10112,4401,5985,72482,19247,12615,1940,6884,4999,9543,23914,2202,1840,2445,1229,27438,9754,4402,7130,73895,21225,13878,2226,8047,5695,10692,26402,2727,2241,2726,1537,30639,10669,4561,7222,66484,19594,12930,2059,7336,5172,10642,24142,2600,2194,2601,1563,28715,10060,4360,7048,57001,18275,12441,2084,7551,5193,10745,22444,2525,2232,2579,1675,26634,9880,4530,5612,38835,13777,9563,1684,5689,3993,8220,16261,1853,1687,2009,1304,19822,7674,3577,4211,28191,10533,7489,1400,4444,2813,6217,11327,1293,1087,1437,891,13697,5059,2557
"2019M08",4013,32238,11286,7690,1336,4129,2925,5851,11070,1463,1120,1345,815,14190,5328,2696,6159,79921,21617,13086,1943,6845,4706,10832,24907,2028,1754,2226,1151,28575,11601,4196,6519,104044,23965,15357,2186,7681,5248,11662,29834,2076,1965,2699,1394,34496,14309,4843,6326,94394,21883,13695,2011,6881,4910,10477,26895,1863,1891,2715,1268,31615,12407,4596,5872,82793,19794,12265,1861,6333,4948,9476,24924,1897,1736,2447,1185,28131,10223,4477,6002,72735,19348,12534,1953,6845,5033,9517,23948,2192,1845,2437,1248,27441,9821,4463,7141,74134,21303,13792,2195,8073,5669,10696,26410,2739,2229,2714,1544,30686,10747,4628,7239,66787,19649,12931,2057,7322,5196,10522,24095,2598,2193,2587,1565,28780,10077,4380,7063,57143,18338,12406,2063,7560,5185,10777,22504,2521,2208,2593,1678,26686,9905,4558,5644,39071,13868,9524,1684,5718,4031,8185,16328,1876,1694,1988,1318,19893,7727,3617,4262,28312,10630,7501,1404,4460,2830,6257,11358,1299,1074,1477,899,13765,5146,2583
"2019M09",4067,32435,11541,7757,1322,4202,2955,5941,11204,1482,1148,1400,845,14488,5444,2814,6239,80183,21747,13090,1951,6852,4694,10906,24971,1968,1729,2233,1171,28856,11687,4317,6544,104304,24178,15323,2184,7525,5279,11752,30077,2019,2004,2659,1399,34748,14336,4895,6415,94971,22071,13697,1979,6816,4950,10600,27070,1838,1913,2684,1280,31997,12553,4644,5934,83405,19940,12281,1880,6360,4966,9592,25137,1886,1734,2424,1186,28228,10360,4551,6032,73177,19492,12544,1937,6750,5025,9527,23952,2150,1858,2421,1250,27699,9845,4537,7239,74314,21340,13847,2165,8054,5687,10763,26444,2725,2222,2713,1595,30760,10859,4666,7268,66959,19795,13016,2010,7350,5213,10578,24115,2602,2183,2607,1566,28936,10143,4418,7179,57360,18452,12470,2071,7556,5175,10779,22498,2589,2194,2610,1704,26855,9980,4624,5687,39394,13933,9527,1702,5765,4094,8252,16498,1886,1718,2016,1322,20114,7790,3654,4390,28750,10892,7673,1432,4528,2879,6394,11574,1323,1093,1518,912,14109,5269,2638
"2019M10",4252,33513,12107,8053,1494,4331,3082,6146,11532,1561,1175,1486,893,14957,5597,2984,6311,80575,21950,13310,2009,6868,4729,11020,25206,1988,1758,2193,1210,29125,11623,4336,6572,105004,24525,15301,2225,7513,5253,11799,30258,1990,1986,2592,1419,35028,14237,4953,6431,95591,22255,13728,2001,6792,4993,10706,27290,1853,1876,2585,1317,32126,12533,4678,5966,83831,19988,12232,1889,6317,4954,9665,25266,1897,1731,2328,1189,28302,10386,4566,6009,73464,19570,12459,1945,6706,5028,9545,23919,2127,1840,2324,1261,27665,9780,4540,7252,74409,21380,13854,2164,7993,5663,10811,26331,2730,2182,2667,1549,30779,10901,4705,7208,67088,19900,13035,2044,7310,5205,10583,24169,2594,2160,2610,1585,29050,10145,4435,7260,57571,18531,12590,2068,7571,5151,10849,22542,2547,2167,2608,1718,27023,10063,4658,5667,39567,14063,9574,1703,5755,4070,8337,16594,1899,1700,2050,1314,20228,7832,3698,4409,28734,10937,7691,1437,4480,2868,6355,11601,1316,1087,1526,932,14224,5357,2638
