"Sex and Region by variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Filled jobs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","",""
" ","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland"
" ","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual"
"2019M05",32566,369112,"..",68257,10608,39103,26299,52389,118262,11885,10082,13407,7213,"..",53538,24111,34428,353041,"..",66075,10630,36277,24807,51926,122035,11312,9882,12280,7134,"..",53790,22890
"2019M06",32258,369722,102196,66995,10544,37434,26055,52270,119183,11513,9913,13344,7133,145431,53318,23379,34343,354087,99096,65316,10608,36036,24831,52145,122870,11205,9839,12255,7031,138098,53535,22406
"2019M07",32100,373899,102307,66628,10420,37131,25994,52581,119614,11575,10008,13318,7064,146240,53328,22746,34192,356466,99293,64886,10557,35474,24769,52230,123063,11139,9818,12182,6961,138310,53714,21945
"2019M08",32023,374050,102447,66324,10351,36695,25894,52198,119421,11479,9952,13167,7140,146137,53523,22969,34379,358138,99844,64793,10467,35343,24954,52340,123124,11140,9802,12135,7019,138723,54146,22234
"2019M09",32351,376024,103239,66437,10311,36328,26016,52557,119938,11271,9973,13060,7207,147279,54043,23271,34800,359822,100764,65141,10445,35635,25066,52823,123886,11270,9868,12299,7126,140107,54586,22670
"2019M10",32597,378448,104383,66326,10539,36331,26125,53088,120584,11152,9859,12731,7275,148531,54267,23627,34936,361509,101546,65879,10589,35549,25059,53086,124417,11437,9848,12321,7225,140620,54573,22773
