"Average Hourly Earnings by Sector and Sex: Percentage Change (Qrtly-Mar/Jun/Sep/Dec)","","","",""
"","Private Sector","","Total All Sectors",""
" ","Total Both Sexes","","Total Both Sexes",""
" ","Ordinary Time Hourly","","Ordinary Time Hourly",""
" ","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period"
"1989Q2","..",0.5,"..",0.9
"1989Q3","..",0.9,"..",0.9
"1989Q4","..",1.8,"..",1.1
"1990Q1",7.5,4.1,6.2,3.1
"1990Q2",7.7,0.7,6.3,1.0
"1990Q3",7.7,0.9,6.4,1.0
"1990Q4",7.0,1.1,6.4,1.1
"1991Q1",4.2,1.4,4.4,1.2
"1991Q2",4.2,0.7,4.0,0.6
"1991Q3",3.7,0.4,3.7,0.8
"1991Q4",3.2,0.7,3.1,0.5
"1992Q1",2.7,0.9,2.8,0.9
"1992Q2",2.6,0.6,2.4,0.3
"1992Q3",1.7,-0.4,1.5,-0.2
"1992Q4",1.4,0.4,1.1,0.1
"1993Q1",0.7,0.1,0.2,0.0
"1993Q2",0.7,0.6,0.5,0.5
"1993Q3",0.6,-0.6,0.3,-0.4
"1993Q4",0.5,0.3,0.3,0.1
"1994Q1",1.3,0.9,1.0,0.7
"1994Q2",1.7,1.1,1.2,0.8
"1994Q3",2.6,0.3,1.6,0.0
"1994Q4",2.1,-0.1,1.8,0.3
"1995Q1",2.1,0.9,2.0,0.8
"1995Q2",2.2,1.2,2.1,0.9
"1995Q3",2.6,0.6,2.7,0.6
"1995Q4",3.3,0.5,3.0,0.7
"1996Q1",3.6,1.2,3.1,0.9
"1996Q2",3.9,1.5,3.6,1.4
"1996Q3",3.7,0.4,3.7,0.6
"1996Q4",3.8,0.7,3.9,0.9
"1997Q1",4.0,1.4,4.3,1.3
"1997Q2",3.4,0.9,3.7,0.8
"1997Q3",3.6,0.6,3.8,0.8
"1997Q4",3.3,0.4,3.2,0.3
"1998Q1",2.5,0.6,2.5,0.6
"1998Q2",2.7,1.1,2.9,1.2
"1998Q3",2.5,0.5,2.6,0.5
"1998Q4",3.0,0.8,3.1,0.8
"1999Q1",2.8,0.4,3.1,0.5
"1999Q2",2.2,0.6,2.3,0.4
"1999Q3",3.0,1.2,3.1,1.3
"1999Q4",1.4,-0.8,1.8,-0.5
"2000Q1",1.9,0.9,1.8,0.5
"2000Q2",1.6,0.3,2.1,0.7
"2000Q3",1.3,0.9,1.8,1.0
"2000Q4",2.5,0.4,2.5,0.3
"2001Q1",3.1,1.4,3.2,1.1
"2001Q2",3.5,0.8,3.2,0.8
"2001Q3",3.4,0.8,3.4,1.2
"2001Q4",3.3,0.3,3.5,0.4
"2002Q1",2.5,0.6,3.7,1.2
"2002Q2",1.6,-0.1,2.5,-0.3
"2002Q3",2.6,1.8,3.2,1.8
"2002Q4",3.3,1.0,3.5,0.7
"2003Q1",2.5,-0.2,2.3,0.1
"2003Q2",4.2,1.6,3.7,1.1
"2003Q3",3.0,0.7,3.1,1.2
"2003Q4",2.8,0.7,3.4,1.0
"2004Q1",3.1,0.2,3.5,0.2
"2004Q2",4.3,2.7,4.4,2.0
"2004Q3",3.4,-0.2,3.4,0.2
"2004Q4",2.0,-0.6,2.1,-0.3
"2005Q1",3.1,1.2,3.6,1.6
"2005Q2",2.2,1.9,3.6,2.0
"2005Q3",3.9,1.5,4.5,1.1
"2005Q4",5.1,0.5,5.6,0.8
"2006Q1",4.6,0.7,5.4,1.5
"2006Q2",5.0,2.3,4.5,1.2
"2006Q3",5.5,1.9,5.1,1.6
"2006Q4",5.6,0.6,5.1,0.8
"2007Q1",5.6,0.7,4.7,1.1
"2007Q2",4.3,1.0,4.4,0.8
"2007Q3",3.8,1.4,4.0,1.3
"2007Q4",4.1,0.9,4.3,1.0
"2008Q1",4.4,1.1,4.7,1.5
"2008Q2",5.5,2.1,5.3,1.4
"2008Q3",5.2,1.1,5.6,1.5
